Metric,Value
design__instance__count__hold_buffer,31790
flow__warnings__count:RSZ-0064,1
global_route__vias,99
global_route__wirelength,14819784
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,292
design__instance__count__class:antenna_cell,351
design__instance__area__class:antenna_cell,1541.03
route__net,170948
route__net__special,60
route__drc_errors__iter:0,137
route__wirelength__iter:0,11753591
route__drc_errors__iter:1,30
route__wirelength__iter:1,11753557
route__drc_errors__iter:2,20
route__wirelength__iter:2,11753545
route__drc_errors__iter:3,0
route__wirelength__iter:3,11753453
route__drc_errors__iter:4,3
route__wirelength__iter:4,11753679
route__drc_errors,0
route__wirelength,11753453
route__vias,1124907
route__vias__singlecut,1124907
route__vias__multicut,0
route__drc_errors__iter:5,3
route__wirelength__iter:5,11753654
route__drc_errors__iter:6,0
route__wirelength__iter:6,11753655
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,3691.42
design__instance__count__class:fill_cell,463639
design__instance__area__class:fill_cell,7.55614E+6
timing__unannotated_net__count__corner:nom_tt_025C_3v30,6344
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:min_tt_025C_3v30,0
design__max_fanout_violation__count__corner:min_tt_025C_3v30,1998
design__max_cap_violation__count__corner:min_tt_025C_3v30,377
clock__skew__worst_hold__corner:min_tt_025C_3v30,-0.36654610939538473
clock__skew__worst_setup__corner:min_tt_025C_3v30,0.3071325225522385
timing__hold__ws__corner:min_tt_025C_3v30,0.4160900630706616
timing__setup__ws__corner:min_tt_025C_3v30,6.202002642552918
timing__hold__tns__corner:min_tt_025C_3v30,0.0
timing__setup__tns__corner:min_tt_025C_3v30,0.0
timing__hold__wns__corner:min_tt_025C_3v30,0
timing__setup__wns__corner:min_tt_025C_3v30,0.0
timing__hold_vio__count__corner:min_tt_025C_3v30,0
timing__hold_r2r__ws__corner:min_tt_025C_3v30,0.416090
timing__hold_r2r_vio__count__corner:min_tt_025C_3v30,0
timing__setup_vio__count__corner:min_tt_025C_3v30,0
timing__setup_r2r__ws__corner:min_tt_025C_3v30,18.663256
timing__setup_r2r_vio__count__corner:min_tt_025C_3v30,0
timing__unannotated_net__count__corner:min_tt_025C_3v30,6344
